Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Chronology of Ancient Kingdoms,Books,00895,Sir Isaac Newton,Printed paper,,Copyright: 1728,book; Kenyon College books can be identified by the following
The Dain Curse,Books,01123,Dashiell Hammett,,,1929,"Small 'purchased by' bookplate, with penciled call number on rear pastedown. Dust jacket; Call no. PS3515.A4347 D3 1929; First edition published in 1929"
Little Journeys to the Homes of English Authors: William Morris,Books,00895,Elbert Hubbard,Printed paper,21.00 cm,Copyright: 1900,book; Kenyon College books can be identified by the following
"The Gazetteer's, or, newsman's interpreter. Being a geographical index.",Books,00895,Laurence Echard,Printed paper,17.00 cm,Copyright: 1738,book; Kenyon College books can be identified by the following
Death in the Afternoon: with eighty-one reproductions from photographs,Books,00895,Ernest Hemingway,Printed paper,23.00 cm,Copyright: 1952,book; Kenyon College books can be identified by the following
Our Bible and the Ancient Manuscripts: being a history of the text and its translations,Books,00895,Sir Frederic George Kenyon,Printed paper,,Copyright: 1903,book; Kenyon College books can be identified by the following
Thesauri rerumpublicarum pars quarta,Books,00895,P. A. Oldenburger,Printed paper,,,book; Kenyon College books can be identified by the following
"Imagines deorum, qui ab antiques colebantur: in quibus simulacra ritus, coerimonioe, magnaq[ue] ex parte veterum religio explicatur",Books,00895,Vincenzo Cartari,Printed paper,23.00 cm,Copyright: 1581,book; Kenyon College books can be identified by the following
The Booke of the Duchesse,Books,00895,Geoffrey Chaucer,Printed paper,,Copyright: 1954,book; Kenyon College books can be identified by the following
Talifer,Books,00895,Edwin Arlington Robinson,Printed paper,,Copyright: 1933,book; Kenyon College books can be identified by the following
Comprehensive Treatise in 200 Chapters,Books,00865,China,Book,,1297-1306,"book; China; Woodblock edition from the Sanshan Prefectural School, Ming Period additions"
Six Paramitas Collected Sutra in 8 Chapters,Books,00865,China,,23.90 cm,,book; China; Woodblock edition from the Wanshou Tripitaka printed at the Dongchan dengjue Cloister of Fuzhou
De Humani Corporis Fabrica,Books,00925,Andreas Versalius,book,,1600-1601,
Recueil de Divers Oiseaux Colories,Books,00925,Jean Michel Seligmann,book,,1768,
Nova Sereometria,Books,00925,Johannes Kepler,,,1615,No Image Associated with this Item; Call Number
"Epistolae hactenus in-editae, de locis S. Scripturae, moribusque formandis",Books,00895,Saint Isidorus,Printed paper,18.00 cm,Copyright:1623,book; Kenyon College books can be identified by the following
Religious Drama: Mediaeval and Modern,Books,1954,Thomas Stearns Eliot,Printed paper book,Length: 20 cm.,Copyright 1954,No Image Associated with this Item
Guangyun Rhyme Dictionary in 5 Chapters,Books,00865,China,,21.70 x 13.10 cm,1366,book; China; Woodblock edition from the Nanshan Academy
Appeal by Bishop Chase in Behalf of a Protestant Episcopal Theological Seminary for the Diocese of Illinois,Books,00895,Philander Chase,Printed paper,,,book; Kenyon College books can be identified by the following
"A Treatise of Algebra, Both Historical and Practical",Books,00895,John Wallis,Printed paper book,,Copyright 1685,No Image Associated with this Item
"Compendium of Commonly Used Antonyms for Poetry, Lyrics, and Rhapsodies in 20 Chapters",Books,00865,Unknown (Chinese in origin),,Height: 18.20 cm; Width: 11.80 cm,1366,"No Image Associated with this Item; Woodblock edition of 1366, incorporating the 1360 edition with additions; Library call # T9299/3498"
A Journey from this World to the Next,Books,00895,Henry Fielding,Printed paper,23.00 cm,Copyright,book; Kenyon College books can be identified by the following
Marina,Books,00895,Thomas Stearns Eliot,Printed paper book,19 cm,Copyright: 1930,No Image Associated with this Item
Essentials of Military Leadership in 2 Chapters,Books,00865,China,,22.50 x 13.70 cm,1522,book; China; Woodblock edition by Meng Feng
"Epitome Trium Terrae Partium Asiae, Africae et Europae",Books,00925,Joachimus Vadianus,book,,1534,
The Journal of a Voyage to Lisbon,Books,00895,Henry Fielding,Printed paper,20.00 cm,,book; Kenyon College books can be identified by the following
The Secret Glory,Books,00895,Jan Luyts,Printed paper,20.00 cm,,book; Kenyon College books can be identified by the following
Selected Prose of Six Writers in 60 chapters,Books,00865,Unknown (Chinese in origin),Woodblock edition,Height: 24 cm; Width: 18.20 cm,1534-1549,No Image Associated with this Item; Library call # T5236.03/4
The Flower Beneath the Foot. Being a record of the early life of St. Laura de Nazianzi and the times in which she lived,Books,00895,Ronald Firbank,Printed paper book,Length: 19 cm,1923,No Image Associated with this Item
More news from Virginia: a further account of Bacon's rebellion reproduced in facsimile with an introduction by Thomas Perkins Abernethy,Books,00895,,printed paper,,Copyright: 1943,book; Kenyon College books can be identified by the following
"Jim Dine, New Paintings, February 5 - March 5, 1988",Books,00895,Jim Dine,Printed paper,29.00 cm,Copyright,book; Kenyon College books can be identified by the following
"Chronicles of border warfare, or a history of the settlement by the whites, of north-western Virginia: and of the Indian wars and massacres, in that section of the state; with reflections",Books,00895,Alex S. Withers,Printed paper,19.00 cm,Copyright: 1831,book; Kenyon College books can be identified by the following
Ruskin's Politics,Books,00895,Bernard Shaw,Printed paper,20.00 cm,Copyright,book; Kenyon College books can be identified by the following
The World almanac and encyclopedia,Books,00895,,Printed paper,,Copyright: 1892,book; Kenyon College books can be identified by the following
A Collection of the Facts and Documents Relative to the Death of Major-General Alexander Hamilton,Books,00895,William Coleman,Printed paper,20.50 cm,Copyright,book; Kenyon College books can be identified by the following
"Ancient Mysteries Described: Especially the English miracle plays, founded on Aprocryphal New Testament story, extant among the unpublished manuscripts in the British Museum",Books,00895,William Hone,Printed paper,23.00 cm,Copyright,book; Kenyon College books can be identified by the following
The King's Henchman; a play in three acts,Books,00895,Edna St. Vincent Millay,Printed paper,20.00 cm,Copyright,book; Kenyon College books can be identified by the following
Trigonometria artificialis,Books,00895,Adrian Vlacq,Printed paper,35.00 cm,Copyright,book; Kenyon College books can be identified by the following
"The Reading Notes Sir Zhen Wenzhong, The Xishan Master",Books,00865,China,,21.10 x 15.60 cm,Song Period,book; China; Woodblock edition of the Fuzhou Education Office
Parisiani Geographiae ordine litterarum dispositum,Books,00925,Michaelis Baudrand,book,,1682,
Five Sutras Combined in 5 Chapters,Books,00865,China,,24.20 cm,1097,book; China; Woodblock edition
The discoverie of witchcraft; with an introduction by Montague Summers,Books,00895,Reginald Scot,Printed paper,31.00 cm, Copyright: 1930,book; Kenyon College books can be identified by the following
Cosmographia,Books,00925,Claudius Ptolemaeus,book,,1486,
"Scepticisms, Notes on Contemporary Poetry",Books,00895,Conrad Aiken,Printed paper,20.00 cm,Copyright,book; poetry; Kenyon College books can be identified by the following
Handbook to the Textual Criticism of the New Testament,Books,00895,Sir Frederic George Kenyon,Printed paper,20.00 cm,Copyright,book; Kenyon College books can be identified by the following
Tristram,Books,00895,Edwin Arlington Robinson,Printed paper,20.00 cm,Copyright,book; Kenyon College books can be identified by the following
Lady Chatterley's Lover,Books,00895,David Herbert Lawrence,Printed paper,25.00 cm,Copyright,book; Kenyon College books can be identified by the following
"Marianne Thornton, 1797-1887",Books,00895,Edward Morgan Forster,Printed paper,23.00 cm,Copyright: 1956,book; Kenyon College books can be identified by the following
"Narrative of the expedition of an American squadron to the China seas and Japan performed in the years 1852, 1853, and 1854",Books,00895,Matthew Galbraith Perry,Printed paper,30.00 cm,Copyright: 1856,book; Kenyon College books can be identified by the following
Treasures of the Night: the collected poems of Jean Genet,Books,00895,Jean Genet,Printed paper,24.00 cm,,book; Kenyon College books can be identified by the following
Cosmographia,Books,00925,Claudius Ptolemaeus,book,,1486,
Ad Vitellionem Paralipomena,Books,00925,Johannes Kepler,Book,,1604,No Image Associated with this Item; Call number
Literary Collection of Mr. Liu [Zongyuan] of Tang,Books,00865,China,,20.20 x 12.40 cm,Ming Period,book; China; woodblock edition
"Nicodemus, a Book of Poems",Books,00895,Edwin Arlington Robinson,Printed paper,25.00 cm,,book; Kenyon College books can be identified by the following
"Cosmographia, ok.",Books,00925,Sebastian Munster,Book,,1628,No Image Associated with this Item; Call number
Psychosexual Functions in Women,Books,00895,Therese Benedek,Printed paper book,Length: 24 cm., Copyright: 1952,
Concilium zu Costenz,Books,00925,Reichental de Ulricus,book,,1483,
Odette D'Antrevernes,Books,00895,Ronald Firbank,Printed paper book,Length: 23 cm.,Copyright,book; Kenyon College books can be identified by the following
For the Time Being,Books,00895,W. H. Auden,Printed paper book,Length: 21 cm.,Copyright: 1905; Copyright: 1944,book; Kenyon College books can be identified by the following
The Kenyon Book,Books,00895,W. B. Bodine,Printed paper book,Length: 26 cm.,Copyright,book; Kenyon College books can be identified by the following
"The Desert Music, and Other Poems",Books,00895,William Carlos Williams,Printed paper book,Length,Copyright,book; Kenyon College books can be identified by the following
Thesaurus geographicus,Books,00925,Abraham Ortels,Book,,1587,
Marquis de Sade: His Life and Works,Books,00895,Iwan Bloch,Printed paper book,Length: 24 cm.,Copyright,book; Kenyon College books can be identified by the following
Titles of Honor,Books,00895,John Selden,Printed paper book,Length: 28 cm.,Copyright: 1631,book; Kenyon College books can be identified by the following
Voyage to the South Sea,Books,00895,A.F. Frezier,Printed paper book,Copyright: 1717,,book; Kenyon College books can be identified by the following
The Vermont Notebook,Books,00895,John Ashbery,Printed paper book,Length: 23 cm.,Copyright: 1975,
Pornography and Obscenity,Books,00895,David Herbert Lawrence,Printed paper book,Length: 20 cm.,Copyright: 1929,book; Kenyon College books can be identified by the following
A Diary of a Journey Into North Wales in the Year 1774,Books,00895,Samuel Johnson,Printed paper book,Copyright: 1816,,book; Kenyon College books can be identified by the following
Murder in the Cathedral,Books,00895,Thomas Stearns Eliot,Printed paper book,Length: 20 cm.,Copyright: 1954,book; Kenyon College books can be identified by the following
Sacramental Book,Books,00952,,,Length: approximately 12-14 in.,,
Zongjing Lu in 100 Chapters,Books,00865,China,,24.30 cm,Yuan Period,Woodblock edition printed by the Xingsheng Wanshou Meditation Monastery of Jingshan
The History of the Worthies of England,Books,00895,Thomas Fuller,Printed paper,36 cm,Copyright: 1662,"book; Kenyon College books can be identified by the following:1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note"
Onomasticon historiae romanae,Books,00895,Johann Glandorp,Printed paper,,Copyright: 1589,book; Kenyon College books can be identified by the following
Prajnaparamita Sutra in 600 Chapters,Books,00865,China,,24.5 cm,1306,book; China; Woodblock edition from the Pilu Tripitaka printed at Kaiyuan Zhuangyan Meditation Monastery of Fuzhou
Bible written in Hebrew,Books,01209,Made in Poland,Silver; paper,Height: 5 3/8 in; Width: 3 in; 1 3/4 in,1802,Front page may have identifier M294/M244; book
Topographia Alsatiae,Books,00925,Martin Zeiller,book,,1644,
Whole Earth Catalog,Books,00895,Unknown,Printed paper book,36 cm,Copyright: 1969,book; Kenyon College books can be identified by the following
